*----------------------------------------------------------------------------------------
*	Innovus 17.11-s080_1 (64bit) 08/04/2017 11:13 (Linux 2.6.18-194.el5)
*	
*
* 	Date & Time:	2020-Nov-03 18:53:25 (2020-Nov-03 17:53:25 GMT)
*
*----------------------------------------------------------------------------------------
*
*	Design: myiir_adv
*
*	Liberty Libraries used: 
*	        MyAnView: /software/dk/nangate45/liberty/NangateOpenCellLibrary_typical_ecsm_nowlm.lib
*
*	Power Domain used: 
*		Rail:        VDD 	Voltage:        1.1 
*
*       Power View : MyAnView
*
*       User-Defined Activity : N.A.
*
*	Switching Activity File used: 
*	        ../vcd/myiir_adv_route.vcd
*			Vcd Window used(Start Time, Stop Time):(9.71937e+16, 9.71938e+16) 
*                     Vcd Scale Factor: 1 
**                    Design annotation coverage: 2826/2826 = 100% 
*
*       Hierarchical Global Activity: N.A.
*
*       Global Activity: N.A.
*
*       Sequential Element Activity: N.A.
*
*       Primary Input Activity: 0.200000
*
*       Default icg ratio: N.A.
*
*       Global Comb ClockGate Ratio: N.A.
*
*	Power Units = 1mW
*
*	Time Units = 1e-09 secs 
*
*       report_power -outfile power_report.txt -sort total -hierarchy all -cell_type all -pg_net all -clock_network all -power_domain all -net
*
-----------------------------------------------------------------------------------------

Group Power For Rail : VDD

Group                           Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
Sequential                        0.1576     0.02944     0.01801       0.205       15.11 
Macro                                  0           0           0           0           0 
IO                                     0           0           0           0           0 
Combinational                     0.6282       0.451     0.07239       1.152       84.89 
Clock (Combinational)                  0           0           0           0           0 
Clock (Sequential)                     0           0           0           0           0 
-----------------------------------------------------------------------------------------
Total                             0.7858      0.4805     0.09039       1.357         100 
-----------------------------------------------------------------------------------------


Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_F3_mult_16_U5               4.751e+08       1.035e+09   0.003752    0.001416   7.303e-05    0.005241      0.3863    FA_X1
mul_F2_mult_16_U6               3.787e+08       9.599e+08   0.003478    0.001664     7.3e-05    0.005215      0.3844    FA_X1
mul_F0_mult_16_U6               3.998e+08       9.864e+08    0.00357    0.001488   7.299e-05     0.00513      0.3782    FA_X1
mul_E3_mult_16_U6               4.085e+08       9.705e+08   0.003523    0.001492   7.366e-05    0.005089      0.3751    FA_X1
mul_F3_mult_16_U6               4.248e+08       9.735e+08   0.003528    0.001455   7.303e-05    0.005056      0.3727    FA_X1
mul_E2_mult_16_U6               4.059e+08       9.652e+08   0.003503    0.001398   7.368e-05    0.004974      0.3666    FA_X1
mul_F0_mult_16_U5               4.796e+08       9.305e+08   0.003374    0.001367   7.299e-05    0.004815      0.3549    FA_X1
mul_E2_mult_16_U5               4.671e+08       9.229e+08   0.003351    0.001324   7.368e-05    0.004749        0.35    FA_X1
mul_F2_mult_16_U5               4.588e+08       8.889e+08   0.003226    0.001434     7.3e-05    0.004733      0.3489    FA_X1
mul_E3_mult_16_U5               4.698e+08       9.274e+08   0.003364    0.001223   7.366e-05    0.004661      0.3435    FA_X1
mul_F1_mult_16_U5               4.237e+08       8.964e+08   0.003248    0.001213   7.299e-05    0.004534      0.3342    FA_X1
mul_F1_mult_16_U6               3.658e+08       8.662e+08   0.003135    0.001289   7.299e-05    0.004497      0.3315    FA_X1
mul_F3_mult_16_U7               4.248e+08       8.692e+08   0.003109    0.001298   7.489e-05    0.004481      0.3303    FA_X1
mul_F3_mult_16_U8               3.828e+08       8.519e+08   0.003045    0.001303   7.489e-05    0.004423       0.326    FA_X1
mul_E3_mult_16_U8               3.413e+08       7.944e+08   0.002835    0.001354    7.81e-05    0.004266      0.3145    FA_X1
mul_E3_mult_16_U7               3.949e+08       8.156e+08   0.002909    0.001223    7.81e-05    0.004211      0.3104    FA_X1
mul_F0_mult_16_U7               3.791e+08       8.148e+08   0.002914    0.001197   7.468e-05    0.004185      0.3085    FA_X1
mul_E2_mult_16_U7               3.927e+08       8.103e+08    0.00289    0.001185   7.824e-05    0.004153      0.3061    FA_X1
mul_E2_mult_16_U8               3.394e+08       7.823e+08    0.00279    0.001257   7.824e-05    0.004125      0.3041    FA_X1
mul_F2_mult_16_U7               3.435e+08       7.657e+08   0.002741    0.001205   7.475e-05    0.004021      0.2964    FA_X1
mul_F3_mult_16_U9               3.318e+08        7.77e+08   0.002752     0.00117   7.548e-05    0.003998      0.2947    FA_X1
mul_F0_mult_16_U8               3.228e+08       7.808e+08   0.002792    0.001116   7.468e-05    0.003983      0.2936    FA_X1
mul_F2_mult_16_U8                3.22e+08       7.559e+08   0.002702    0.001194   7.475e-05    0.003971      0.2927    FA_X1
mul_F1_mult_16_U7               3.541e+08       7.181e+08   0.002571     0.00109   7.468e-05    0.003736      0.2754    FA_X1
mul_F1_mult_16_U8               2.831e+08       7.067e+08   0.002528     0.00106   7.468e-05    0.003662      0.2699    FA_X1
mul_F3_mult_16_U10              3.122e+08       6.992e+08   0.002469    0.001069   7.561e-05    0.003613      0.2664    FA_X1
mul_E3_mult_16_U9               3.133e+08       6.871e+08   0.002426    0.001029   7.811e-05    0.003532      0.2604    FA_X1
mul_E2_mult_16_U9               2.955e+08       6.977e+08   0.002459   0.0009687   7.822e-05    0.003506      0.2584    FA_X1
mul_F2_mult_16_U9               3.148e+08       6.636e+08    0.00236    0.001056   7.564e-05    0.003492      0.2574    FA_X1
mul_F0_mult_16_U9               2.887e+08       6.515e+08   0.002312    0.001044   7.533e-05    0.003432       0.253    FA_X1
mul_F2_mult_16_U10              2.868e+08        6.41e+08   0.002278    0.001064   7.446e-05    0.003417      0.2518    FA_X1
mul_F3_mult_16_U11              2.853e+08       6.379e+08   0.002269   0.0009571   7.526e-05    0.003301      0.2433    FA_X1
mul_E3_mult_16_U10              2.834e+08       6.259e+08   0.002218   0.0009755   7.816e-05    0.003271      0.2411    FA_X1
mul_F2_mult_16_U11              2.453e+08       6.168e+08   0.002188   0.0009671   7.244e-05    0.003227      0.2379    FA_X1
mul_E2_mult_16_U10              2.759e+08       5.949e+08   0.002109   0.0009354   7.829e-05    0.003123      0.2302    FA_X1
mul_F1_mult_16_U9               2.547e+08        6.07e+08   0.002159   0.0008722   7.625e-05    0.003108      0.2291    FA_X1
mul_E2_mult_16_U11                2.2e+08       5.752e+08   0.002044   0.0008703   7.917e-05    0.002993      0.2206    FA_X1
mul_E3_mult_16_U11              2.441e+08       5.797e+08   0.002061   0.0008531    7.81e-05    0.002992      0.2206    FA_X1
mul_F3_mult_16_U12              2.566e+08       5.699e+08   0.002025   0.0008855   7.548e-05    0.002986      0.2201    FA_X1
