*----------------------------------------------------------------------------------------
*	Innovus 17.11-s080_1 (64bit) 08/04/2017 11:13 (Linux 2.6.18-194.el5)
*	
*
* 	Date & Time:	2020-Nov-04 15:21:17 (2020-Nov-04 14:21:17 GMT)
*
*----------------------------------------------------------------------------------------
*
*	Design: myiir
*
*	Liberty Libraries used: 
*	        MyAnView: /home/isa20/Desktop/Lab1/innovus/myiir.dat/libs/mmmc/NangateOpenCellLibrary_typical_ecsm_nowlm.lib
*
*	Power Domain used: 
*		Rail:        VDD 	Voltage:        1.1 
*
*       Power View : MyAnView
*
*       User-Defined Activity : N.A.
*
*	Switching Activity File used: 
*	        ../vcd/myiir_route.vcd
*			Vcd Window used(Start Time, Stop Time):(4.69325e-17, 4.69325e-17) 
*                     Vcd Scale Factor: 1 
**                    Design annotation coverage: 1728/1728 = 100% 
*
*       Hierarchical Global Activity: N.A.
*
*       Global Activity: N.A.
*
*       Sequential Element Activity: N.A.
*
*       Primary Input Activity: 0.200000
*
*       Default icg ratio: N.A.
*
*       Global Comb ClockGate Ratio: N.A.
*
*	Power Units = 1mW
*
*	Time Units = 1e-09 secs 
*
*       report_power -outfile power_report.txt -sort total -hierarchy all -cell_type all -pg_net all -clock_network all -power_domain all -net
*
-----------------------------------------------------------------------------------------

Group Power For Rail : VDD

Group                           Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
Sequential                       0.04524    0.006128    0.008453     0.05982       7.758 
Macro                                  0           0           0           0           0 
IO                                     0           0           0           0           0 
Combinational                     0.3607      0.3033     0.04721      0.7112       92.24 
Clock (Combinational)                  0           0           0           0           0 
Clock (Sequential)                     0           0           0           0           0 
-----------------------------------------------------------------------------------------
Total                              0.406      0.3094     0.05566       0.771         100 
-----------------------------------------------------------------------------------------


Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_B0_mult_16_U2               5.318e+08       1.135e+09   0.004077    0.002007   7.519e-05     0.00616      0.7989    FA_X1
mul_B0_mult_16_U4               4.889e+08       1.007e+09   0.003653    0.002153   7.309e-05     0.00588      0.7626    FA_X1
mul_B0_mult_16_U3                4.86e+08       1.012e+09   0.003675    0.002122   7.309e-05    0.005871      0.7614    FA_X1
mul_B0_mult_16_U5               4.711e+08       9.725e+08   0.003491    0.002027   7.519e-05    0.005594      0.7255    FA_X1
mul_B0_mult_16_U6                 4.6e+08       9.248e+08   0.003321    0.002092   7.519e-05    0.005488      0.7118    FA_X1
mul_B0_mult_16_U7               3.699e+08       9.075e+08   0.003252    0.001946   7.713e-05    0.005275      0.6841    FA_X1
mul_B0_mult_16_U9               3.513e+08       7.624e+08   0.002741    0.001816   7.704e-05    0.004634      0.6011    FA_X1
mul_B0_mult_16_U8               3.839e+08       7.769e+08   0.002766    0.001713   7.154e-05    0.004551      0.5903    FA_X1
add_A0_add_16_U1_1              1.354e+08       2.267e+08   0.000855    0.003571    7.48e-05      0.0045      0.5837    FA_X1
mul_B0_mult_16_U262             2.205e+08       2.067e+08   0.001208    0.003187   7.277e-05    0.004468      0.5795    XNOR2_X2
mul_B0_mult_16_U10              3.446e+08       7.636e+08   0.002731    0.001663   7.177e-05    0.004466      0.5792    FA_X1
mul_B0_mult_16_U260             1.805e+08       2.014e+08   0.001153    0.003152   7.319e-05    0.004379      0.5679    XNOR2_X2
add_A0_add_16_U1_3               1.41e+08       2.665e+08   0.001001    0.003261   7.548e-05    0.004338      0.5626    FA_X1
mul_B0_mult_16_U261              1.81e+08       1.966e+08   0.001151    0.002968   7.257e-05    0.004191      0.5436    XNOR2_X2
add_A0_add_16_U1_7              2.364e+08       3.571e+08    0.00132    0.002557   7.612e-05    0.003953      0.5127    FA_X1
mul_B0_mult_16_U11              3.108e+08       6.798e+08   0.002432    0.001417   7.144e-05     0.00392      0.5084    FA_X1
add_B0_add_16_U1_7              5.212e+08       7.629e+08   0.002703    0.001139   7.568e-05    0.003918      0.5081    FA_X1
mul_B0_mult_16_U36              2.995e+08       6.388e+08    0.00228    0.001535   6.564e-05     0.00388      0.5032    FA_X1
mul_B0_mult_16_U29              2.928e+08       6.284e+08   0.002256    0.001537   7.347e-05    0.003866      0.5014    FA_X1
U193                            5.318e+08        5.34e+08  0.0006476    0.003183   2.807e-05    0.003859      0.5004    NAND2_X1
add_B0_add_16_U1_8              4.802e+08       7.465e+08   0.002644    0.001126   7.568e-05    0.003846      0.4988    FA_X1
mul_B0_mult_16_U41              3.236e+08       6.108e+08   0.002178     0.00146   7.141e-05    0.003709       0.481    FA_X1
add_B0_add_16_U1_4              4.475e+08        7.21e+08   0.002551    0.001069   7.568e-05    0.003695      0.4793    FA_X1
add_B0_add_16_U1_6              4.836e+08       7.051e+08   0.002497    0.001083   7.568e-05    0.003656      0.4741    FA_X1
mul_B0_mult_16_U21              2.029e+08       5.981e+08   0.002132    0.001438   6.115e-05     0.00363      0.4708    FA_X1
mul_B0_mult_16_U248             2.205e+08       2.205e+08  0.0002148    0.003335   1.446e-05    0.003564      0.4623    INV_X1
mul_B0_mult_16_U32              3.012e+08       5.928e+08   0.002115    0.001376   6.407e-05    0.003555      0.4611    FA_X1
add_B0_add_16_U1_2              3.786e+08       6.865e+08   0.002436    0.001028   7.174e-05    0.003536      0.4586    FA_X1
add_B0_add_16_U1_3               4.07e+08       6.834e+08    0.00242    0.001013   7.419e-05    0.003507      0.4548    FA_X1
mul_B0_mult_16_U45              2.966e+08       5.884e+08   0.002098    0.001324   7.621e-05    0.003498      0.4537    FA_X1
mul_B0_mult_16_U33              2.287e+08       5.894e+08    0.00212    0.001289   7.741e-05    0.003486      0.4522    FA_X1
mul_B0_mult_16_U25              1.928e+08       5.966e+08   0.002125    0.001278   6.738e-05     0.00347      0.4501    FA_X1
add_B0_add_16_U1_5              4.537e+08       6.708e+08   0.002374   0.0009863   7.568e-05    0.003436      0.4456    FA_X1
mul_B0_mult_16_U387             2.593e+08       2.333e+08  0.0003501    0.003056   1.284e-05    0.003419      0.4434    NAND2_X1
add_B0_add_16_U1_1              4.123e+08       6.757e+08   0.002393   0.0009282   7.111e-05    0.003392        0.44    FA_X1
mul_B0_mult_16_U27              2.265e+08       5.436e+08   0.001928    0.001346    6.03e-05    0.003334      0.4324    FA_X1
mul_B0_mult_16_U247             1.887e+08       1.887e+08  0.0001806    0.003131   1.446e-05    0.003326      0.4313    INV_X1
add_B0_add_16_U1_9              5.646e+08       5.318e+08   0.002576   0.0006439   7.568e-05    0.003296      0.4275    FA_X1
mul_B0_mult_16_U22              2.983e+08       5.123e+08   0.001844    0.001245   6.644e-05    0.003155      0.4092    FA_X1
